Node_BC,node_cn_0,score_cn_0,node_cn_1,score_cn_1,node_cn_2,score_cn_2
Tanins,tanins,27.39021,sultanins,23.193005,tanin,22.295856
Tannage ''wet white'' du cuir,tannage,30.807566,stannage,29.149235,retannage,27.660318
Tartare de boeuf,tartare,36.873447,tartares,35.19963,boeuf,34.422195
Tarte aux fraises,tarterais,23.14467,starterais,22.019913,tarte,21.711353
Tarte aux pommes,tarte aux pommes,38.155556,ma pomme,23.792429,pomme,23.792429
Tarte tatin,tarte tatin,34.732403,tartes tatin,34.732403,tarte,21.711353
Tartiflette,tartiflette,47.586372,tartiflettes,47.586372,tartifle,38.614674
Tasse de café,chasse café,23.720419,café,22.8904,chasse cafés,22.508802
Tasse de thé,tasses de thé,19.116486,tasses à thé,19.116486,tasse de thé,19.116486
Taurillon laitier,taurillon,38.878983,taurillons,36.989586,taurillon mésange,30.969503
Taurillon race à viande,taurillon,38.878983,taurillons,36.989586,taurillon mésange,30.969503
Taux d'occupation moyen des voitures,occupation,45.371613,occupations,43.268883,réoccupation,41.352417
Taxi,taxi,20.974405,le taxi,20.974405,les taxis,19.627947
Taxi brousse,brousses,26.659082,brousse,26.659082,la brousse,26.659082
Télécabine,télécabine,46.990253,télécabines,44.812508,cabine,27.952518
Télécommande,télécommande,49.817837,télécommandes,49.817837,télécommandez,47.704895
Téléphone répondeur,téléphoneur,45.88343,téléphone,45.708828,au téléphone,45.708828
Télévision,télévision,42.840324,télévisions,40.854908,télévision à péage,37.389317
"Tennis, balle",tennis,23.70388,anno tennis,21.151985,tennisman,20.07156
"TER, Train Express Regional",train express,40.02557,express,33.886787,expresso,32.062706
"Tertiaire, bureaux",tertiaire,37.566845,ère tertiaire,35.741215,tertiaires,35.741215
"Tertiaire, café, hôtels, restaurants",restaurants,40.350815,tertiaires,39.50649,hôtels,38.680573
"Tertiaire, commerces",tertiaire,37.566845,commerce,35.913376,commerces,35.913376
"Tertiaire, enseignement",enseignement,47.882862,enseignemens,47.548347,enseignements,45.851986
"Tertiaire, santé",tertiaire,37.566845,ère tertiaire,35.741215,tertiaires,35.741215
"Tertiaire, toutes branches",tertiaire,37.566845,ère tertiaire,35.741215,tertiaires,35.741215
"TGV, Train Grande Vitesse",train à grande vitesse,42.506866,trains à grande vitesse,40.77736,à vitesse grand v,33.9167
Thé,thé,8.868364,théo,8.260003,théa,8.260003
Thon,thon,16.497112,éthon,15.438076,thons,15.438076
Tiramisu,tiramisu,39.190304,tiramisus,37.188496,sémiramis,22.143
Tomate,tomate,26.925404,tomates,26.925404,tomate roma,26.028448
Tomate pour la consommation en frais,consommation,46.720207,consommations,45.617867,non consommation,44.738644
Tomates farcies,tomates farcies,48.454002,farcies,34.0868,infarcies,30.60455
Totalité des consommations électriques en cuis,consommation,44.34404,consommations,44.221703,électriques,43.351692
Totalité des consommations électriques en cuisine,consommation,44.34404,consommations,44.221703,électriques,43.351692
Totalité du poste audiovisuel moye,audiovisuel,60.068115,audiovisuels,57.407578,audiovisuelle,54.972725
Totalité du poste audiovisuel moyenne,audiovisuel,60.068115,audiovisuels,57.407578,audiovisuelle,54.972725
Totalité du poste informatique moyenne,informatique,45.43287,bio informatique,43.42056,informatiques,43.42056
Tourbe,tourbe,27.749142,tourber,26.170467,tourbeux,26.170467
Tournesol,tournesol,39.795113,tournesols,37.861195,huile de tournesol,34.507305
Tout logement,logement,34.85618,mal logement,33.075756,logements,33.075756
"Tout sport, maillot",porte maillot,34.09084,maillot,27.247017,le maillot,27.247017
"Tout sport, paire chaussettes",porte chaussettes,44.89056,support chaussettes,41.380398,chaussette,40.619
"Tout sport, short",short,31.658802,shorts,29.749048,shorta,29.749048
Train de marchandises,train de marchandises,44.944927,trains de marchandises,43.18772,marchandise,40.628105
Train de voyageurs,voyageurs,47.8032,voyageur,44.37141,commis voyageurs,39.693214
Train grandes lignes,grandes lignes,39.477146,dans les grandes lignes,35.980106,lignes de plus grande pente,31.759975
Traitement des eaux usées,traitement,30.797947,traitements,29.301264,traitement de données,28.07024
Tramway,tramway,51.070713,tramways,48.321644,amway,44.904465
Trisuperphosphate (TSP),superphosphate,62.636696,superphosphates,62.636696,phosphate,45.940548
Triticale,triticale,38.387497,urticales,23.564493,triticine,23.322077
Truie de reforme,reforme,33.00177,reformes,33.00177,reformez,31.225328
Truie de réforme,réforme,35.017353,réformes,35.017353,préforme,33.132416
Truite,truite,29.431328,truites,29.431328,truite de lac,27.75695
Truite ou saumon,truite saumonée,41.947826,truites saumonées,40.08987,truite,29.431328
Truite portion,truite,29.431328,truites,29.431328,truite de lac,27.75695
Tuile béton,tuile,24.035027,tuiles,24.035027,tuiler,22.585165
Unité centrale moyenne,unité centrale,42.014584,unités centrales,40.153675,moyen de moyenner,36.543304
Urée,urée,15.168487,purée,14.194741,curée,14.194741
Vache de réforme d’origine allaitante,vache de réforme,46.63167,réforme protestante,35.713867,réforme,35.017353
Vache laitière de réforme,vache de réforme,46.63167,vache laitière,43.441174,vaches laitières,39.592983
Vanille,vanille,28.527624,vanilles,28.527624,vaniller,26.992018
Variateur électrique,variateur,40.690247,électrique,40.298893,générateur électrique,40.261242
Veau,veau,20.292053,veaux,20.292053,veau d or,20.292053
Veau de boucherie,boucherie,32.92907,boucheries,31.328821,boucheriez,31.328821
Véhicule Utilitaire Léger,véhicule utilitaire sport,57.159485,véhicules utilitaires sports,53.539223,véhicule,46.35495
Véhicules,véhicule,46.35495,véhicules,46.35495,véhiculez,43.987175
Vernis Acrylique,acrylique,43.831985,acryliques,41.593086,acide acrylique,37.737854
Verre,verre,20.41589,cul de verre,19.184343,ver de terre,19.184343
Verre d'eau du robinet,eau du robinet,38.945793,robinet,34.71585,robinets,32.84714
Verre d'emballage,emballage,38.381474,emballages,36.516254,remballage,36.516254
Verre de pur jus d'orange,jus d’ orange,32.346676,jus d orange,32.346676,orange,25.130821
Verre de Soda au cola,salsola soda,21.523207,soda,21.013794,verre,20.41589
Verre de vin,le verre de vin,27.018036,verre,20.41589,cul de verre,19.184343
